production_sku,current_name,supplier_sku,mapping_ppp_sku,ppp_name,api_status,name_tokens_shared,confidence
FNC-2,Medium Fish and Chips Bag,44PABAWK2430FHG004,44PABAWK2430FHG004,Medium Fish and Chips Recyclable Paper Bag (Case of 250),live,5,high
FNC-3,Large Fish and Chips Takeaway Box,44PABXFC00LA00G001,44PABXFC00LA00G001,Large Fish and Chips Takeaway Box (Case of 100),live,6,high
FNC-4,Leakproof Pots with Lids,D19014,D19014,4oz Leakproof Recyclable Paper Pots with lids (Case of 250),live,4,high
FNC-5,Medium Fish and Chips Takeaway Box,44PABXFC00ME00G001,44PABXFC00ME00G001,Medium Fish and Chips Recyclable Takeaway Box  (Case of 100),live,6,high
FNC-6,Small Fish and Chips Takeaway Box,44PABXFC00SM00G001,44PABXFC00SM00G001,Small Fish and Chips Recyclable Takeaway Box (Case of 100),live,6,high
FOL,Lids for No. 9 Container,10815.09,10815.09,Lids for No. 9 Container Recyclable (Case of 200),live,5,high
FOL-16,No. 2 Aluminium Food Containers,10810.02,10810.02,No. 2 Aluminium Foil Food Containers Recyclable  470ml/16oz (Case of 1000),live,5,high
FOL-2,Lids for No. 6 Container,10811.06FB,10811.06FB,Lids for No. 6 Container Recyclable (Case of 500),live,5,high
FOL-24,No. 6a Aluminium Food Containers,10810.06A,10810.06A,No. 6a Aluminium Foil Food Containers Recyclable  700ml/24oz (Case of 500),live,5,high
FOL-3,Lids for No. 6A Container,10815.06A,10815.06A,Lids for No. 6A Container Recyclable (Case of 500),live,5,high
FOL-30,No. 6 Aluminium Food Containers,10810.06,10810.06,No. 6 Aluminium Foil Food Containers Recyclable  860ml/30oz (Case of 500),live,5,high
FOL-4,Lids for No. 2 Container,10811.02FB,10811.02FB,Lids for No. 2 Container Recyclable (Case of 1000),live,5,high
FOL-5,Lids for No. 1 Container,10811.01,10811.01,Lids for No. 1 Container Recyclable (Case of 1000),live,5,high
FOL-52,No.9 Shallow Aluminium Food Containers,10810.09S,10810.09S,No.9 Shallow Aluminium Foil Food Containers Recyclable  1500ml/52oz (Case of 200),live,6,high
FOL-7,No. 1 Aluminium Food Containers,10810.01,10810.01,No. 1 Aluminium Foil Food Containers Recyclable  250ml/8.7oz (Case of 1000),live,5,high
FOL-73,No.9 Deep Aluminium Food Containers,10810.09D,10810.09D,No.9 Deep Aluminium Foil Food Containers Recyclable  2100ml/73oz (Case of 200),live,6,high
FOL-RD,Lids for No. 12 Container Round,10815.12FB,10815.12FB,Lids for No. 12 Container Round Recyclable (Case of 400),live,6,high
FOL-RD-32,No.12 Round Aluminium Food Containers,10810.12,10810.12,No.12 Round Aluminium Foil Food Containers Recyclable  920ml/32oz (Case of 400),live,6,high
GP-250,Steak House Printed Greaseproof Sheets,GP0025,GP0025,Steak House Printed Greaseproof Paper Sheets – 250mm x 350mm Food Safe  Recyclable,live,5,high
GP-250-BK,Gingham Printed Sheets,GP0003,GP0003,Black Gingham Printed Paper Sheets – 250mm x 200mm  Food Safe  Recyclable,live,3,high
GP-250-BL,Gingham Printed Sheets,GP0002,GP0002,Blue Gingham Printed Paper Sheets – 250mm x 200mm  Food Safe  Recyclable,live,3,high
GP-250-RD,Gingham Printed Sheets,GP0001,GP0001,Red Gingham Printed Paper Sheets – 250mm x 200mm  Food Safe  Recyclable,live,3,high
GP-350,Honeycomb -Backed Deli Wrap Sheets ( Insulating),HFIS.267.350.PL,HFIS.267.350.PL,Honeycomb Foil-Backed Deli Wrap Sheets – 267 x 350mm (Food Safe  Insulating),live,6,high
GP-375,Bon Appétit Printed Greaseproof Sheets,GP0012,GP0012,Bon Appétit Printed Greaseproof Paper Sheets – 375mm x 245mm  Food Safe  Recyclable,live,6,high
GP-375-2,Gourmet Grilled Printed Greaseproof Sheets,GP0015,GP0015,Gourmet Grilled Printed Greaseproof Paper Sheets – 375mm x 245mm  Food Safe  Recyclable,live,5,high
GP-375-3,Yum Yum Printed Greaseproof Sheets,GP0010,GP0010,Yum Yum Printed Greaseproof Paper Sheets – 375mm x 245mm  Food Safe  Recyclable,live,4,high
GP-375-4,Newspaper Printed Greaseproof Sheets,GP0009,GP0009,Newspaper Printed Greaseproof Paper Sheets – 375mm x 245mm Food Safe  Recyclable,live,4,high
GP-375-BL,Gingham Printed Sheets,GP0021,GP0021,Blue Gingham Printed Paper Sheets – 375mm x 250mm  Food Safe  Recyclable,live,3,high
GP-375-RD,Gingham Printed Sheets,GP0020,GP0020,Red Gingham Printed Paper Sheets – 375mm x 250mm  Food Safe  Recyclable,live,3,high
GP-BG-320-BL,Blue Printed Burger Wraps,GP0006,GP0006,Blue Printed Burger Wraps 250x320mm  Food Safe  Recyclable,live,4,high
GP-BG-320-GN,Green Printed Burger Wraps,GP0004,GP0004,Green Printed Burger Wraps 250x320mm  Food Safe  Recyclable,live,4,high
GP-BG-320-OR,Printed Burger Wraps,GP0007,GP0007,Orange Printed Burger Wraps 250x320mm  Food Safe  Recyclable,live,3,high
GP-BG-320-RD,Printed Burger Wraps 250x320mm,GP0005,GP0005,Red Printed Burger Wraps 250x320mm  Food Safe  Recyclable,live,4,high
GP-BG-320-YL,Yellow Printed Burger Wraps,GP0008,GP0008,Yellow Printed Burger Wraps 250x320mm  Food Safe  Recyclable,live,4,high
IC-4-2,Ice Cream Tub Domed Lid,R10091,R10091,4oz Ice Cream Tub Domed rPET Lid (Case of 1000),live,5,high
IC-4-3,Ice Cream Tub Lid,D46111,D46111,4oz Ice Cream Tub Paper Lid Recyclable (Case of 500),live,4,high
IC-5-OR,Ice Cream Tub,10480.05,10480.05,Orange Paper Ice Cream Tub (160ml/5oz)  RECYCLABLE,live,3,high
IC-5-PK,Ice Cream Tub,10480.03,10480.03,Pink Paper Ice Cream Tub (100ml/3.5oz)  RECYCLABLE,live,3,high
IC-6-2,Ice Cream Tub Domed Lid,R10092,R10092,6oz Ice Cream Tub Domed rPET Lid Recyclable (Case of 1000),live,5,high
IC-6-3,Ice Cream Tub Lid,D46112,D46112,6oz Ice Cream Tub Paper Lid Recyclable (Case of 500),live,4,high
IC-8,Knickerbocker Glory Dessert Cups Cup,10485.04,10485.04,Knickerbocker Glory Dessert Cups – 231ml/8oz Recyclable Plastic Cup (Case of 1000),live,5,high
IC-8-2,Ice Cream Tub Domed Lid,R10093,R10093,8oz Ice Cream Tub Domed rPET Lid Recyclable (Case of 1000),live,5,high
IC-8-3,Ice Cream Tub Lid,D46113,D46113,8oz Ice Cream Tub Paper Lid Recyclable (Case of 500),live,4,high
LID-16,Lid (PE Lined) Recyclable,D12012,D12012,12/16oz Paper Lid (PE Lined)  RECYCLABLE,live,4,high
LID-16-BK,Sip-Thru Hot Cup Lid,B10013P,B10013P,12-16oz Black CPLA Sip-Thru Hot Cup Lid Compostable(Case of 1000),live,5,high
LID-16-WH,Sip-Thru Hot Cup Lid,B10003P,B10003P,12-16oz White CPLA Sip-Thru Hot Cup Lid Compostable (Case of 1000),live,5,high
LID-8,Lid (PE Lined) Recyclable,D12011,D12011,8oz Paper Lid (PE Lined)  RECYCLABLE,live,4,high
LID-8-BK-2,Sip-Thru Hot Cup Lid,B10012P,B10012P,8oz Black CPLA Sip-Thru Hot Cup Lid Compostable (Case of 1000),live,5,high
LID-8-WH-2,Sip-Thru Hot Cup Lid,B10002P,B10002P,8oz White CPLA Sip-Thru Hot Cup Lid Compostable (Case of 1000),live,5,high
MFB-BG-BK,Burger Chip Box,GRAND10B,GRAND10B,Black Kraft Burger Chip Box Recyclable,live,3,high
MFB-BG-KR,Burger Box,GRAND6K,GRAND6K,Kraft Burger Box Recyclable,live,2,high
MFB-BG-KR-2,Burger Chip Box,GRAND10K,GRAND10K,Kraft Burger Chip Box Recyclable,live,3,high
NAP-40-BL,Navy 8-Fold Tablin Pop-In Napkin,POPIN4048NB,POPIN4048NB,40cm Navy Blue 8-Fold Tablin Pop-In Napkin – Compostable (Case of 500),live,7,high
NAP-CK-24-WH,Tablin Cocktail Napkins,2444WH,2444WH,"White Tablin Cocktail Napkins 24cm – Recyclable (Case of 2,400)",live,3,high
PFC,Microwaveable Container with Lids,10840.100,10840.100,1000cc Microwaveable Plastic Container with Lids Recyclable (Case of 250),live,4,high
PFC-2,750cc Microwaveable Container with Lids,10840.075,10840.075,750cc Microwaveable Plastic Container with Lids Recyclable (Case of 250),live,5,high
PFC-3,650cc Microwaveable Container with Lids,10840.065,10840.065,650cc Microwaveable Plastic Container with Lids Recyclable (Case of 250),live,5,high
PFC-4,500cc Microwaveable Container with Lids,10840.050,10840.050,500cc Microwaveable Plastic Container with Lids Recyclable (Case of 250),live,5,high
PIZ-BG,Premium Burger Meal Box,ECOB/CBOX,ECOB/CBOX,Premium burger meal box 9 x 5in Recyclable/Compostable (Case of 100),live,4,high
PIZ-BG-2,Premium Burger Box,ECOBBOX,ECOBBOX,Premium burger box 5in Recyclable/Compostable (Case of 100),live,3,high
PIZ-BG-5-BK,Folded Board Burger Tray,D40113,D40113,5″ x 5″ Black Folded Board Burger Tray – Recyclable,live,4,high
PIZ-KR,Pizza Box,BOX010,BOX010,10in Brown Kraft Pizza Box Recyclable/Compostable (Case of 75),live,2,high
PIZ-TY,Pizza Slice Tray,TA009-,TA009-,Pizza Slice Tray Compostable (Case of 1000),live,3,high
PIZ-TY-BK,Large Folded Board Tray,D40015,D40015,Large Black Folded Board Tray – Recyclable,live,4,high
PIZ-TY-BK-2,Medium Folded Board Meal Tray,D40115,D40115,Medium Black Folded Board Meal Tray – Recyclable,live,5,high
PIZ-TY-BK-3,Small Folded Board Tray,D40103,D40103,Small Black Folded Board Tray – Recyclable,live,4,high
PIZ-TY-KR,Large Folded Board Tray,BOATNO6,BOATNO6,Large Kraft Folded Board Tray – Recyclable,live,4,high
PIZ-TY-KR-2,Small Folded Board Tray,BOATNO5,BOATNO5,Small Kraft Folded Board Tray – Recyclable,live,4,high
PIZ-WH,Paperboard Crepe Cone,10074,10074,White Paperboard Crepe Cone Recyclable/Compostable (Case of 1000),live,3,high
PLF,Heart Shaped Dish,ELP16HP,ELP16HP,Palm Leaf 6in Heart Palm Dish Compostable (Case of 100),live,2,high
PLF-OV,Oval Plate,ELPOLP,ELPOLP,Palm leaf 10 x 6.5 in Oval Plate Compostable  (Case of 100),live,2,high
PLF-RC,Rectangle Plate,ELP95DRP,ELP95DRP,9.8” X 6” Palm Rectangle Plate Compostable (Case of 100),live,2,high
PLF-RC-2,Rectangle Plate,ELPSRT,ELPSRT,Palm Leaf 6.5 x 4.5 in Rectangle Plate Compostable (Case of 100),live,2,high
PLF-RD,Round Bowl,ELP7RB,ELP7RB,Palm Leaf 7 in Round Palm Bowl Compostable (Case of 100),live,2,high
PLF-RD-2,Round Salad Bowl,ELP7.5RB,ELP7.5RB,Palm Leaf 7.5 in Round Palm Salad Bowl Compostable (Case of 100),live,3,high
PLF-RD-3,Round Bowl,ELP3RB,ELP3RB,Palm Leaf 3 in Round Palm Bowl Compostable (Case of 100),live,2,high
PLF-RD-4,Round Plate,ELP12RP,ELP12RP,Palm Leaf 12in Round Palm Plate Compostable (Case of 100),live,2,high
PLF-RD-5,Round Plate,ELP6RP,ELP6RP,Palm Leaf 6in Round Palm Plate Compostable (Case of 100),live,2,high
PLF-RD-6,Round Plate,ELP7RP,ELP7RP,Palm Leaf 7in Round Palm Plate Compostable (Case of 100),live,2,high
PLF-RD-7,Round Plate,ELP8RP,ELP8RP,Palm Leaf 8in Round Palm Plate Compostable (Case of 100),live,2,high
PLF-RD-8,Round Plate,ELP9RP,ELP9RP,Palm Leaf 9in Round Palm Plate Compostable (Case of 100),live,2,high
PLF-RD-9,Round Plate,ELP10RP,ELP10RP,Palm Leaf 10in Round Palm Plate Compostable (Case of 100),live,2,high
PLF-SQ,Square Bowl,ELP7SB,ELP7SB,Palm Leaf 7 in Square Palm Bowl Compostable (Case of 100),live,2,high
PLF-SQ-2,Square Plate,ELP6SP,ELP6SP,Palm Leaf 6in Square Palm Plate Compostable (Case of 100),live,2,high
PLF-SQ-3,Square Plate,ELP7SP,ELP7SP,Palm Leaf 7in Square Palm Plate Compostable (Case of 100),live,2,high
