afida_sku,ppp_sku,name,category,size,material,colour,pack_size,pack_price,certifications,description,website_url,product_weight,product_length,product_width,product_height,case_length,case_width,case_depth,case_volume,case_weight,additional_specs
SKTB,,Small Kraft Flat Handle Bags,Bags & Wraps,Small,Kraft Paper,Brown/Kraft,250,13.99,Recyclable,"These small kraft bags are perfect for snacks and smaller items. The flat twisted handles provide easy carrying while sturdy kraft paper construction protects contents without tearing. The natural brown finish signals eco-friendly values and works well with stamps, stickers, or branded labels. Small size suits pastries, sandwiches, snack items, and small retail purchases. Recyclable and made from sustainable materials. Ideal for bakeries, coffee shops, delis, and boutique retail. Perfect for grab-and-go items where larger bags would be wasteful. Pack of 250 bags.",https://afida.com/products/flat-handle-bags-small-kraft,,,,,,,,,,
TWBGBSM,,Small Black Paper Twisted Handle Bags,Bags & Wraps,Small,Paper,Black,300,47.12,Recyclable,"These black paper bags deliver premium presentation for businesses that care about style. The comfortable twisted paper handles make carrying easy while sturdy construction holds items securely. The sophisticated black finish creates upscale appeal perfect for boutique shops, premium cafes, gift packaging, and special occasions. Small size suits pastries, coffee accompaniments, small gifts, and boutique retail. Made from eco-friendly paper that's fully recyclable. The elegant design demonstrates quality while practical functionality ensures reliable performance. Ideal for venues where presentation matters as much as sustainability. Pack of 300 bags.",https://afida.com/products/twisted-handle-bags-small-black-paper,,,,,,,,,,
GP-250-BK,GP0003,Black Gingham Printed Paper Sheets – 250mm x 200mm Food Safe Recyclable,Bags & Wraps,"250mm, 200mm","paper, pp",Black,1000,11.2,Recyclable,The 250mm / 200mm black paper Gingham Printed Sheets is made from responsibly sourced paper. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Fully recyclable through standard paper or plastic recycling streams.,https://afida.com/products/gingham-printed-sheets,Not specified,250mm,200mm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
GP-250-BL,GP0002,Blue Gingham Printed Paper Sheets – 250mm x 200mm Food Safe Recyclable,Bags & Wraps,"250mm, 200mm","paper, pp",Blue,1000,11.2,Recyclable,The 250mm / 200mm blue paper Gingham Printed Sheets is made from responsibly sourced paper. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Fully recyclable through standard paper or plastic recycling streams.,https://afida.com/products/gingham-printed-sheets-2,unknown,250mm,200mm,unknown,unknown,unknown,unknown,unknown,unknown,
GP-375-BL,GP0021,Blue Gingham Printed Paper Sheets – 375mm x 250mm Food Safe Recyclable,Bags & Wraps,"375mm, 250mm","paper, pp",Blue,1000,17.2,Recyclable,The 375mm / 250mm blue paper Gingham Printed Sheets is made from responsibly sourced paper. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Fully recyclable through standard paper or plastic recycling streams.,https://afida.com/products/gingham-printed-sheets-3,Not specified,375mm,250mm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
GP-BG-320-BL,GP0006,Blue Printed Burger Wraps 250x320mm Food Safe Recyclable,Bags & Wraps,"250mm, 200mm",pp,Blue,1000,13.52,Recyclable,"The 250mm / 200mm blue Printed Burger Wraps. A greaseproof wrap for burgers, sandwiches, and hand-held foods. Keeps hands clean while allowing easy access to the food. Grease-resistant paper prevents oil from soaking through. Fully recyclable through standard paper or plastic recycling streams. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/printed-burger-wraps,N/A,250mm,200mm,N/A,N/A,N/A,N/A,N/A,N/A,
GP-375,GP0012,Bon Appétit Printed Greaseproof Paper Sheets – 375mm x 245mm Food Safe Recyclable,Bags & Wraps,"375mm, 245mm","paper, pp",,1000,17.2,Recyclable,"The 375mm / 245mm paper Bon Appétit Printed Greaseproof Sheets is made from responsibly sourced paper. A greaseproof paper sheet for lining trays, wrapping food, and presenting items in baskets and containers. Provides a clean, hygienic barrier between food and surfaces. Resistant to oils, fats, and moisture. Fully recyclable through standard paper or plastic recycling streams. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/bon-appetit-printed-greaseproof-sheets,N/A,375mm,245mm,N/A,N/A,N/A,N/A,N/A,N/A,
GP-375-2,GP0015,Gourmet Grilled Printed Greaseproof Paper Sheets – 375mm x 245mm Food Safe Recyclable,Bags & Wraps,"375mm, 245mm","paper, pp",,1000,17.2,Recyclable,"The 375mm / 245mm paper Gourmet Grilled Printed Greaseproof Sheets is made from responsibly sourced paper. A greaseproof paper sheet for lining trays, wrapping food, and presenting items in baskets and containers. Provides a clean, hygienic barrier between food and surfaces. Resistant to oils, fats, and moisture. Fully recyclable through standard paper or plastic recycling streams. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/gourmet-grilled-printed-greaseproof-sheets,N/A,375mm,245mm,N/A,N/A,N/A,N/A,N/A,N/A,
GP-BG-320-GN,GP0004,Green Printed Burger Wraps 250x320mm Food Safe Recyclable,Bags & Wraps,"250mm, 200mm",pp,Green,1000,13.52,Recyclable,"The 250mm / 200mm Green Printed Burger Wraps. A greaseproof wrap for burgers, sandwiches, and hand-held foods. Keeps hands clean while allowing easy access to the food. Grease-resistant paper prevents oil from soaking through. Fully recyclable through standard paper or plastic recycling streams. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/green-printed-burger-wraps,Not specified,250mm,200mm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
GP-350,HFIS.267.350.PL,Honeycomb Foil-Backed Deli Wrap Sheets – 267 x 350mm (Food Safe Insulating),Bags & Wraps,350mm,foil,,500,21.25,,"The 350mm foil Honeycomb -Backed Deli Wrap Sheets ( Insulating) is made from aluminium foil for excellent heat retention and barrier protection. A deli wrap sheet with a honeycomb-backed insulating layer. Keeps hot food warm while remaining comfortable to hold. The textured surface provides grip. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/honeycomb-backed-deli-wrap-sheets-insulating,N/A,350 mm,267 mm,N/A,N/A,N/A,N/A,N/A,N/A,
GP-400,HFIS.267.400.PL,Honeycomb Foil-Backed Deli Wrap Sheets – 350x400mm (Food Safe Insulating),Bags & Wraps,400mm,foil,,500,26.58,,"The 400mm foil Honeycomb -Backed Deli Wrap Sheets ( Insulating) is made from aluminium foil for excellent heat retention and barrier protection. A deli wrap sheet with a honeycomb-backed insulating layer. Keeps hot food warm while remaining comfortable to hold. The textured surface provides grip. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/honeycomb-backed-deli-wrap-sheets-insulating-2,,,,,,,,,,
SAN-TY-KR,01NTBT,Kraft Baguette Tray Compostable (Case of 500),Bags & Wraps,,"kraft, pla",Brown/Kraft,500,86.22,Compostable,"The kraft Baguette Tray is constructed from kraft board, an unbleached paper with natural strength. Sized specifically for baguettes, sub rolls, and long bread products. Keeps contents fresh while remaining easy to open for serving or eating on the go. Certified compostable - breaks down in industrial composting facilities. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/baguette-tray,9.48g,245mm,60mm,30mm,600mm,315mm,261mm,0.049m3,8 kg,
GP-375-4,GP0009,Newspaper Printed Greaseproof Paper Sheets – 375mm x 245mm Food Safe Recyclable,Bags & Wraps,"375mm, 245mm","paper, pp",,1000,17.2,Recyclable,"The 375mm / 245mm Newspaper Printed Greaseproof Sheets is made from responsibly sourced paper. A greaseproof paper sheet for lining trays, wrapping food, and presenting items in baskets and containers. Provides a clean, hygienic barrier between food and surfaces. Resistant to oils, fats, and moisture. Fully recyclable through standard paper or plastic recycling streams. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/newspaper-printed-greaseproof-sheets,Not specified,375mm,245mm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
GP-BG-320-OR,GP0007,Orange Printed Burger Wraps 250x320mm Food Safe Recyclable,Bags & Wraps,"250mm, 200mm",pp,,1000,13.52,Recyclable,"The 250mm / 200mm orange Printed Burger Wraps. A greaseproof wrap for burgers, sandwiches, and hand-held foods. Keeps hands clean while allowing easy access to the food. Grease-resistant paper prevents oil from soaking through. Fully recyclable through standard paper or plastic recycling streams. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/printed-burger-wraps-2,,250mm,200mm,,,,,,,
GP-250-RD,GP0001,Red Gingham Printed Paper Sheets – 250mm x 200mm Food Safe Recyclable,Bags & Wraps,"250mm, 200mm","paper, pp",Red,1000,11.2,Recyclable,The 250mm / 200mm red paper Gingham Printed Sheets is made from responsibly sourced paper. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Fully recyclable through standard paper or plastic recycling streams.,https://afida.com/products/gingham-printed-sheets-4,Not specified,250mm,200mm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
GP-375-RD,GP0020,Red Gingham Printed Paper Sheets – 375mm x 250mm Food Safe Recyclable,Bags & Wraps,"375mm, 250mm","paper, pp",Red,1000,17.2,Recyclable,The 375mm / 250mm red paper Gingham Printed Sheets is made from responsibly sourced paper. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Fully recyclable through standard paper or plastic recycling streams.,https://afida.com/products/gingham-printed-sheets-5,Not specified,375mm,250mm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
GP-BG-320-RD,GP0005,Red Printed Burger Wraps 250x320mm Food Safe Recyclable,Bags & Wraps,"250mm, 200mm",pp,Red,1000,13.52,Recyclable,"The 250mm / 200mm red Printed Burger Wraps. A greaseproof wrap for burgers, sandwiches, and hand-held foods. Keeps hands clean while allowing easy access to the food. Grease-resistant paper prevents oil from soaking through. Fully recyclable through standard paper or plastic recycling streams. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/printed-burger-wraps-3,Not specified,250mm,200mm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
SAN-SW,4422KR-FSC,Sandwich Bag with Film – Recyclable Packaging for Wraps Rolls,Bags & Wraps,,pla,,500,81.55,Recyclable,"The Sandwich Bag with Film Packaging for Wraps Rolls. A paper bag with a clear film window for displaying sandwiches, wraps, and filled rolls. The window allows customers to see the filling without opening the packaging. Fully recyclable through standard paper or plastic recycling streams. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/sandwich-bag-with-film-packaging-for-wraps-rolls,,,,,,,,,,
GP-250,GP0025,Steak House Printed Greaseproof Paper Sheets – 250mm x 350mm Food Safe Recyclable,Bags & Wraps,"250mm, 350mm","paper, pp",,1000,20.8,Recyclable,"The 250mm / 350mm paper Steak House Printed Greaseproof Sheets is made from responsibly sourced paper. A greaseproof paper sheet for lining trays, wrapping food, and presenting items in baskets and containers. Provides a clean, hygienic barrier between food and surfaces. Resistant to oils, fats, and moisture. Fully recyclable through standard paper or plastic recycling streams. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/steak-house-printed-greaseproof-sheets,Not specified,350mm,250mm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
GP-BG-320-YL,GP0008,Yellow Printed Burger Wraps 250x320mm Food Safe Recyclable,Bags & Wraps,"250mm, 200mm",pp,Yellow,1000,13.52,Recyclable,"The 250mm / 200mm Yellow Printed Burger Wraps. A greaseproof wrap for burgers, sandwiches, and hand-held foods. Keeps hands clean while allowing easy access to the food. Grease-resistant paper prevents oil from soaking through. Fully recyclable through standard paper or plastic recycling streams. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/yellow-printed-burger-wraps,Unknown,250mm,200mm,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
GP-375-3,GP0010,Yum Yum Printed Greaseproof Paper Sheets – 375mm x 245mm Food Safe Recyclable,Bags & Wraps,"375mm, 245mm","paper, pp",,1000,17.2,Recyclable,"The 375mm / 245mm paper Yum Yum Printed Greaseproof Sheets is made from responsibly sourced paper. A greaseproof paper sheet for lining trays, wrapping food, and presenting items in baskets and containers. Provides a clean, hygienic barrier between food and surfaces. Resistant to oils, fats, and moisture. Fully recyclable through standard paper or plastic recycling streams. A practical addition for takeaways, cafés, commercial kitchens, and catering operations.",https://afida.com/products/yum-yum-printed-greaseproof-sheets,Not specified,375mm,245mm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
CNT-500-KR,69002,"Kraft Salad Bowl Lid – Fits 500ml to 1,000ml Containers Recyclable",Cold Food & Salads,"500ml, 000ml",kraft,Brown/Kraft,300,41.49,Recyclable,"The 500ml / 000ml kraft Salad Bowl Lid Fits to 1, Containers is constructed from kraft board, an unbleached paper with natural strength. A secure-fit lid that snaps onto compatible food bowls, keeping contents fresh, contained, and visible. Ideal for meal prep, deli counters, and takeaway service. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/salad-bowl-lid-fits-to-1-containers,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,
BOX-1200-KR,61003,PLA Tuck Top Kraft Window Salad Box 1200ml Compostable (Case of 200),Cold Food & Salads,1200ml,"kraft, pla",Brown/Kraft,200,54.09,Compostable,"The 1200ml kraft Tuck Top Window Salad Box is constructed from kraft board, an unbleached paper with natural strength. A salad box with a clear window that showcases fresh contents - salads, wraps, grain bowls, and prepared meals. The window boosts product visibility for grab-and-go display. Stackable and sturdy. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/tuck-top-window-salad-box,,,,,,,,,7 kg,
