keyword,best_position,best_position_url,volume,keyword_difficulty
"eco friendly food packaging",3,https://www.enviropack.org.uk/,350,14
"ice cream pots",4,https://www.enviropack.org.uk/dessert-cookies/ice-cream-containers,300,0
"cardboard food boxes",13,https://www.enviropack.org.uk/hot-food-containers/paperboard-containers,300,1
"restaurant name ideas",7,https://www.enviropack.org.uk/blog/260-unique-restaurant-names-for-every-cuisine.html,300,1
"paper bags for food",3,https://www.enviropack.org.uk/bags-pouches,300,0
"wooden fork",8,https://www.enviropack.org.uk/tableware/disposable-forks,300,0
"environmentally friendly packaging",12,https://www.enviropack.org.uk/,300,13
"catering boxes",5,https://www.enviropack.org.uk/catering-packaging,300,0
"food packaging supplies",10,https://www.enviropack.org.uk/,300,33
"paper food bags",12,https://www.enviropack.org.uk/bags-pouches,300,0
"takeaway food containers",4,https://www.enviropack.org.uk/hot-food-containers,250,0
"sustainable food packaging",2,https://www.enviropack.org.uk/,250,28
"food prep gloves",10,https://www.enviropack.org.uk/consumables,250,0
"catering containers",6,https://www.enviropack.org.uk/catering-packaging,250,2
"packaging manufacturer",11,https://www.enviropack.org.uk/,250,71
"food packaging manufacturer",4,https://www.enviropack.org.uk/,250,7
"microwavable containers",12,https://www.enviropack.org.uk/hot-food-containers/microwavable-containers,250,2
"food packaging uk",1,https://www.enviropack.org.uk/,250,42
"paper cups with lids",3,https://www.enviropack.org.uk/cups-and-accessories/lids-hot-cups,250,0
"wholesale cutlery",3,https://www.enviropack.org.uk/catering-packaging/catering-cutlery,250,0
"sustainable packaging company",5,https://www.enviropack.org.uk/,250,35
"biodegradable food packaging",3,https://www.enviropack.org.uk/,250,1
"ice cream box",14,https://www.enviropack.org.uk/dessert-cookies/ice-cream-containers,250,0
"packaging companies uk",8,https://www.enviropack.org.uk/,250,62
"eco-friendly packaging",10,https://www.enviropack.org.uk/,250,9
"food packaging solutions",2,https://www.enviropack.org.uk/,250,0
"biopak uk",8,https://www.enviropack.org.uk/,250,8
"food packaging companies",3,https://www.enviropack.org.uk/,200,47
"microwave containers",12,https://www.enviropack.org.uk/hot-food-containers/microwavable-containers,200,2
"paper takeaway bags",5,https://www.enviropack.org.uk/bags-pouches/takeway-sos-bags-carry-packs,200,0
"6oz cups",8,https://www.enviropack.org.uk/6oz-single-wall-paper-cup-white,200,0
"white paper cups",5,https://www.enviropack.org.uk/10oz-single-wall-paper-cup-white,200,0
"wooden cutlery set",14,https://www.enviropack.org.uk/tableware/tableware-cutlery,200,0
"kraft bowl",5,https://ubereats.enviropack.org.uk/750ml-round-paperboard-salad-bowl-kraft,200,0
"cold cup",3,https://www.enviropack.org.uk/cups-and-accessories/cold-cups,200,0
"sabert",8,https://www.enviropack.org.uk/hot-food-containers/bepulp-by-sabert,200,1
"takeaway packaging uk",8,https://www.enviropack.org.uk/,200,42
"eco friendly packaging materials",10,https://www.enviropack.org.uk/,200,9
"good restaurant names",10,https://www.enviropack.org.uk/blog/260-unique-restaurant-names-for-every-cuisine.html,200,2
"disposable trays",7,https://www.enviropack.org.uk/catering-packaging/food-trays,200,0
"food pack",9,https://www.enviropack.org.uk/,200,24
"eco food packaging",1,https://www.enviropack.org.uk/,200,27
"food packaging companies uk",1,https://www.enviropack.org.uk/,200,53
"takeaway packaging suppliers",7,https://ubereats.enviropack.org.uk/blog/best-takeaway-food-packaging-suppliers.html,200,50
"cardboard ice cream tubs",8,https://www.enviropack.org.uk/dessert-cookies/ice-cream-containers,200,0
"enviropack",1,https://www.enviropack.org.uk/,200,0
"deli pots",9,https://www.enviropack.org.uk/cold-food-containers/deli-portion-pots,200,0
"12 inch pizza boxes",2,https://www.enviropack.org.uk/takeaway-pizza-boxes-12-kraft,200,0
"burger boxes wholesale",2,https://www.enviropack.org.uk/hot-food-containers/burger-boxes,200,0
"catering cutlery",11,https://www.enviropack.org.uk/catering-packaging/catering-cutlery,200,1
"cardboard burger boxes",4,https://www.enviropack.org.uk/hot-food-containers/burger-boxes,200,0
"microwavable",7,https://www.enviropack.org.uk/hot-food-containers/microwavable-containers,200,0
"sustainable packaging companies",6,https://www.enviropack.org.uk/,200,21
"salad container",7,https://www.enviropack.org.uk/large-salad-container-with-window-kraft,200,0
"dessert boxes",4,https://www.enviropack.org.uk/dessert-cookies,200,0
"catering packaging",1,https://www.enviropack.org.uk/catering-packaging,200,21
"oven bags",5,https://www.enviropack.org.uk/bags-pouches/oven-able-bags,150,0
"coffee lids",7,https://www.enviropack.org.uk/cups-and-accessories/lids-hot-cups,150,0
"packaging for food",4,https://www.enviropack.org.uk/,150,25
"paper coffee cups with lids",4,https://www.enviropack.org.uk/cups-and-accessories/lids-hot-cups,150,0
"biodegradable packaging for food",2,https://www.enviropack.org.uk/,150,22
"unique restaurant names ideas",5,https://www.enviropack.org.uk/blog/260-unique-restaurant-names-for-every-cuisine.html,150,0
"sushi tray",2,https://www.enviropack.org.uk/cold-food-containers/sushi-boxes,150,0
