keyword,volume,keyword_difficulty,n_competitors_ranking,best_competitor,best_competitor_position,best_competitor_url
party cups,700,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/collections/disposable-plastic-cups
disposable wine glasses,700,0,2,cater4you.co.uk,3,https://cater4you.co.uk/
chicken box,700,0,2,greenpak.supplies,8,https://greenpak.supplies/category/hot-food-packaging/chicken-boxes/
plastic bowl,700,0,1,cater4you.co.uk,18,https://cater4you.co.uk/product-category/tableware/plastic-bowls/
shot glasses plastic,700,0,1,cater4you.co.uk,13,https://cater4you.co.uk/product/8cl-80ml-tasting-shot-glasses/
sandwich trays with lids,700,0,1,cater4you.co.uk,11,https://cater4you.co.uk/Food
spice jars with labels,700,0,1,cater4you.co.uk,16,https://cater4you.co.uk/product-category/food-packaging/herb-and-spice-jars/
plastic gin glasses,700,0,1,cater4you.co.uk,12,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-gin-glasses/
cupcake decorating ideas,700,6,1,cater4you.co.uk,7,https://cater4you.co.uk/cupcake-decorating-ideas-for-beginners/
branded packaging,600,7,1,takeawaypackaging.co.uk,12,https://takeawaypackaging.co.uk/branded-packaging/
greaseproof paper sheets,600,0,2,enviropack.org.uk,8,https://ubereats.enviropack.org.uk/types
disposable coffee cups with lids,600,0,4,enviropack.org.uk,4,https://www.enviropack.org.uk/cups-and-accessories/lids-hot-cups
branded cups,600,25,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/custom-printed-paper-cups
plastic glass,600,0,2,cater4you.co.uk,5,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/
smoothie cup,600,0,2,cupsdirect.co.uk,3,https://cupsdirect.co.uk/products/diamond-plastic-smoothie-cup-range-pet-juice-cups-with-lids
restaurant names,600,2,1,enviropack.org.uk,7,https://www.enviropack.org.uk/blog/260-unique-restaurant-names-for-every-cuisine.html
eco packaging,600,52,1,enviropack.org.uk,6,https://www.enviropack.org.uk/
noodle box,600,3,1,enviropack.org.uk,14,https://www.enviropack.org.uk/hot-food-containers/noodle-boxes
4oz,600,0,1,enviropack.org.uk,5,https://www.enviropack.org.uk/4oz-portion-pot-and-lids
how long does cake last in the fridge,600,3,1,cater4you.co.uk,17,https://cater4you.co.uk/how-long-can-a-cake-last-in-the-fridge/
buffet trays,600,0,1,cater4you.co.uk,19,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/
50ml bottle,600,0,1,cater4you.co.uk,13,https://cater4you.co.uk/product/50ml-square-rpet-plastic-bottle-with-tamper-evident-cap/
sandwich platter trays,600,0,1,cater4you.co.uk,16,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/page/2/
bagasse,500,2,2,takeawaypackaging.co.uk,4,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/bagasse-tableware/
food packaging boxes,500,3,4,takeawaypackaging.co.uk,5,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/kraftware/
chip box,500,0,2,cater4you.co.uk,7,https://cater4you.co.uk/product-category/food-packaging/fish-and-chip-packaging/
clear plastic cups,500,0,2,eventsupplies.co.uk,6,https://eventsupplies.co.uk/collections/disposable-plastic-cups
deli containers,500,0,1,enviropack.org.uk,8,https://www.enviropack.org.uk/cold-food-containers/deli-portion-pots
wooden forks,500,0,1,enviropack.org.uk,10,https://www.enviropack.org.uk/tableware/disposable-forks
recyclable packaging,500,16,1,enviropack.org.uk,10,https://www.enviropack.org.uk/
drinking straws,500,0,1,eventsupplies.co.uk,8,https://eventsupplies.co.uk/products/black-jumbo-plastic-drinking-straws
plastic flutes,500,0,2,cater4you.co.uk,10,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-prosecco-champagne-flutes/
plastic straws uk,500,0,1,eventsupplies.co.uk,7,https://eventsupplies.co.uk/collections/drinking-straws
sauce pots,500,0,2,eventsupplies.co.uk,10,https://eventsupplies.co.uk/products/4oz-plastic-sauce-pots-with-lids
foil containers,500,0,2,greenpak.supplies,6,https://greenpak.supplies/product/no-1-foil-container/
packaging uk,500,71,1,cater4you.co.uk,16,https://cater4you.co.uk/product-category/food-packaging/
white paper bags,500,0,1,cater4you.co.uk,15,https://cater4you.co.uk/product/125-x-125mm-small-white-paper-bags/
platter trays,500,0,1,cater4you.co.uk,4,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/
polystyrene cups,500,0,1,cater4you.co.uk,8,https://cater4you.co.uk/Blog
disposable food containers,500,0,1,cater4you.co.uk,2,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/
plastic party plates,500,0,1,cater4you.co.uk,11,https://cater4you.co.uk/product-category/tableware/
do hot drinks cool you down,450,6,1,takeawaypackaging.co.uk,20,https://takeawaypackaging.co.uk/hot-drinks-cool-you-down/
food packaging design,450,0,1,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/design-service/
platter boxes,450,0,1,cupsdirect.co.uk,4,https://cupsdirect.co.uk/products/kraft-catering-platter-sandwich-box-range
iced coffee cups,450,0,1,cupsdirect.co.uk,9,https://cupsdirect.co.uk/blogs/insights/best-cups-for-iced-coffee-and-cold-drinks-uk-buyer-s-guide
dessert pots,450,0,1,enviropack.org.uk,5,https://www.enviropack.org.uk/dessert-cookies/dessert-pots
plastic glasses for party,450,0,2,cater4you.co.uk,6,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/
plastic drinking glasses,450,4,1,eventsupplies.co.uk,11,https://eventsupplies.co.uk/collections/plastic-glasses
disposable glasses,450,0,2,eventsupplies.co.uk,10,https://eventsupplies.co.uk/collections/plastic-glasses
disposable champagne flutes,450,0,1,eventsupplies.co.uk,10,https://eventsupplies.co.uk/collections/plastic-champagne-flutes
foil container,450,0,1,greenpak.supplies,9,https://greenpak.supplies/product/no-1-foil-container/
buffet trays with lids,450,0,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/
can you freeze cupcakes,450,0,1,cater4you.co.uk,4,https://cater4you.co.uk/can-you-freeze-cupcakes/
polycarbonate glasses,450,0,1,cater4you.co.uk,2,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/unbreakable-plastic-glasses/
cupcake holder,450,0,1,cater4you.co.uk,8,https://cater4you.co.uk/product/25-or-30-hole-cupcake-boxes-for-transporting/
juice bottles,450,0,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/food-packaging/plastic-juice-bottles/
disposable shot glasses,450,0,1,cater4you.co.uk,6,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-shot-glasses/
coffee cups takeaway,400,0,2,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/
paper cups for hot drinks,400,0,4,greenpak.supplies,3,https://greenpak.supplies/category/cups-accessories/hot-drink-paper-cups/
ice cream tubs with lids,400,0,1,takeawaypackaging.co.uk,10,https://takeawaypackaging.co.uk/online-shop/ice-cream-tubs-lids/
custom coffee cups,400,24,1,cupsdirect.co.uk,8,https://cupsdirect.co.uk/collections/custom-printed-paper-cups
smoothie cups,400,0,2,greenpak.supplies,2,https://greenpak.supplies/Cups
custom cups,400,26,1,cupsdirect.co.uk,7,https://cupsdirect.co.uk/collections/custom-printed-paper-cups
red cup,400,0,1,cupsdirect.co.uk,4,https://cupsdirect.co.uk/products/red-party-cup-range
plastic dessert cups,400,0,1,cater4you.co.uk,8,https://cater4you.co.uk/product-category/food-packaging/dessert-cups-pots-lids/
pudding basin,400,0,1,cater4you.co.uk,20,https://cater4you.co.uk/product/red-plastic-1lb-pudding-basins/
cookie boxes,400,0,1,cater4you.co.uk,19,https://cater4you.co.uk/product-category/bakery-and-cakes/cookie-boxes-and-bags/
tin foil trays,400,0,1,cater4you.co.uk,5,https://cater4you.co.uk/product-category/food-packaging/foil-trays-and-pie-dishes/
banqueting roll,400,0,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/tableware/banqueting-roll-table-covers/
white napkins,400,0,1,cater4you.co.uk,13,https://cater4you.co.uk/product/single-ply-white-paper-napkins-serviettes/
buffet platters,400,1,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/
catering trays with lids,400,0,1,cater4you.co.uk,11,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/
disposable cocktail glasses,400,0,1,cater4you.co.uk,2,https://cater4you.co.uk/
compostable cups,350,0,1,takeawaypackaging.co.uk,10,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-clear-cups-lids/
take away containers,350,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/product-category/hot-food-containers/
takeaway box,350,3,3,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/kraftware/
take away boxes,350,1,1,takeawaypackaging.co.uk,12,https://takeawaypackaging.co.uk/
bagasse plates,350,0,3,enviropack.org.uk,3,https://www.enviropack.org.uk/tableware/bagasse-plates
disposable cups for hot drinks,350,0,3,cupsdirect.co.uk,3,https://cupsdirect.co.uk/collections/paper-cups-for-hot-drinks
plastic coffee cups,350,0,1,cupsdirect.co.uk,7,https://cupsdirect.co.uk/
palm leaf plates,350,0,1,enviropack.org.uk,3,https://www.enviropack.org.uk/catering-packaging/palm-leaf-plates
environmental packaging,350,17,1,enviropack.org.uk,4,https://www.enviropack.org.uk/
cold cups,350,0,1,enviropack.org.uk,3,https://www.enviropack.org.uk/cups-and-accessories/cold-cups
eco friendly food packaging,350,14,1,enviropack.org.uk,3,https://www.enviropack.org.uk/
plastic straw,350,0,1,eventsupplies.co.uk,13,https://eventsupplies.co.uk/collections/drinking-straws
plastic spoon,350,0,1,eventsupplies.co.uk,8,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-spoons
plastic knives and forks,350,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/collections/cutlery
white placemats,350,0,1,eventsupplies.co.uk,13,https://eventsupplies.co.uk/products/white-placemats
plastic pint cups,350,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/pint-and-half-pint-tumblers
takeaway cups,300,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/
disposable plastic cups,300,0,2,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/disposable-plastic-cups
paper bags for food,300,0,2,enviropack.org.uk,3,https://www.enviropack.org.uk/bags-pouches
16oz cup,300,0,1,takeawaypackaging.co.uk,7,https://takeawaypackaging.co.uk/product/16oz-black-double-wall-recyclable-cup-mm-qty-500/
burger packaging,300,0,1,takeawaypackaging.co.uk,10,https://takeawaypackaging.co.uk/product/kraft-burger-box/
paper food bags,300,0,2,takeawaypackaging.co.uk,10,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/
12oz cup,300,0,2,cupsdirect.co.uk,12,https://cupsdirect.co.uk/products/12oz-custom-print-bespoke-paper-cups-single-wall
smoothie cups with lids,300,0,2,greenpak.supplies,2,https://greenpak.supplies/category/cups-accessories/smoothie-cups-lids/
cups with lids,300,0,1,cupsdirect.co.uk,5,https://cupsdirect.co.uk/collections/lids
microwavable container,300,2,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/food-packaging/microwavable-containers
food packaging supplies,300,33,3,greenpak.supplies,4,https://greenpak.supplies/
ice cream pots,300,0,1,enviropack.org.uk,4,https://www.enviropack.org.uk/dessert-cookies/ice-cream-containers
cardboard food boxes,300,1,1,enviropack.org.uk,13,https://www.enviropack.org.uk/hot-food-containers/paperboard-containers
restaurant name ideas,300,1,1,enviropack.org.uk,7,https://www.enviropack.org.uk/blog/260-unique-restaurant-names-for-every-cuisine.html
wooden fork,300,0,1,enviropack.org.uk,8,https://www.enviropack.org.uk/tableware/disposable-forks
environmentally friendly packaging,300,13,1,enviropack.org.uk,12,https://www.enviropack.org.uk/
catering boxes,300,0,1,enviropack.org.uk,5,https://www.enviropack.org.uk/catering-packaging
8oz cup,300,0,1,eventsupplies.co.uk,8,https://eventsupplies.co.uk/products/8oz-white-paper-cups
soup cup,300,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/paper-soup-containers
banquet roll,300,0,1,eventsupplies.co.uk,5,https://eventsupplies.co.uk/collections/50m-banquet-rolls
red party cups,300,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/products/16oz-disposable-red-american-party-cups
hot chocolate cups,300,0,1,greenpak.supplies,12,https://greenpak.supplies/product/12oz-cadbury-in-cup-hot-chocolate/
takeaway coffee cups with lids,250,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/
takeaway food containers,250,0,3,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/product-category/hot-food-containers/
biodegradable cups,250,0,1,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-clear-cups-lids/
kraft boxes,250,0,1,takeawaypackaging.co.uk,7,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/kraftware/
takeaway coffee cup,250,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/
pizza boxes for sale,250,0,1,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/pizza-boxes/
take away coffee cups,250,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/
brown paper bags with handles,250,0,1,takeawaypackaging.co.uk,12,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/twisted-handle-paper-bags/
disposable cups with lids,250,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/disposable-cups/
custom greaseproof paper,250,2,1,takeawaypackaging.co.uk,8,https://takeawaypackaging.co.uk/branded-packaging/custom-printed-greaseproof-paper/
paper cups with lids,250,0,3,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/
grease paper,250,0,1,takeawaypackaging.co.uk,9,https://takeawaypackaging.co.uk/branded-packaging/custom-printed-greaseproof-paper/
biodegradable food packaging,250,1,3,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/
drink carrier,250,0,1,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/product/2-cup-carrier/
takeaway containers with lids,250,0,1,takeawaypackaging.co.uk,5,https://takeawaypackaging.co.uk/product/900ml-fastpac-2-compartment-lid-microwavable-container-qty-300/
food packaging designer,250,0,1,takeawaypackaging.co.uk,6,https://takeawaypackaging.co.uk/design-service/
food packaging solutions,250,0,2,enviropack.org.uk,2,https://www.enviropack.org.uk/
printed greaseproof paper,250,1,1,takeawaypackaging.co.uk,4,https://takeawaypackaging.co.uk/branded-packaging/custom-printed-greaseproof-paper/
greaseproof paper bags,250,0,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/bags-greaseproof-foil
reusable plastic glasses,250,0,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/reusable-plastic-glasses
paper bowl,250,0,1,cupsdirect.co.uk,2,https://cupsdirect.co.uk/collections/paper-foodservice-bowls
food packaging uk,250,42,2,enviropack.org.uk,1,https://www.enviropack.org.uk/
branded paper cups,250,4,1,cupsdirect.co.uk,2,https://cupsdirect.co.uk/collections/custom-printed-paper-cups
boba straws,250,0,1,cupsdirect.co.uk,8,https://cupsdirect.co.uk/products/12mm-paper-boba-straws-white
milkshake cups with lids,250,0,2,greenpak.supplies,3,https://greenpak.supplies/category/cups-accessories/smoothie-cups-lids/
bakery packaging,250,0,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/cake-boxes-deserts
food prep gloves,250,0,1,enviropack.org.uk,10,https://www.enviropack.org.uk/consumables
catering containers,250,2,1,enviropack.org.uk,6,https://www.enviropack.org.uk/catering-packaging
