#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (01-2024 - 12-2025),SV Forecasting trend (01-2026 - 01-2027)
35,custom kraft paper bags,gb,,60,1.40,,,,,350,,,2020-01-11,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
36,large kraft paper bags,gb,,60,1.30,,,,,200,,,2019-09-09,,,,
37,kraft paper gift bags,gb,0,60,0.25,,brown gift bags,2026-01-05 04:43:45,"Shopping,Thumbnail",450,150,150,2015-10-23,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
38,branded kraft paper bags,gb,,50,,,,,,100,,,2020-03-26,,,,
39,8oz coffee cups with lids,gb,0,50,0.70,,8oz cups,2025-12-24 23:48:46,"Shopping,Thumbnail,People also ask,Bottom ads",250,200,200,2018-09-10,"Commercial,Transactional,Non-branded,Non-local",English,,
40,compostable coffee cup lids,gb,,50,2.50,,,,,150,,,2018-01-11,,,,
41,glass coffee cups double wall,gb,,50,0.20,,,,,200,,,2018-12-24,,,,
42,small kraft paper bags,gb,0,50,0.25,,kraft paper bags,2026-01-06 07:33:56,"Shopping,Thumbnail",200,150,150,2019-03-17,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"39, 50, 48, 45, 37, 36, 42, 38, 53, 52, 63, 41, 42, 54, 52, 49, 40, 39, 45, 41, 57, 56, 68, 44","45, 58, 56, 52, 43, 42, 48, 44, 61, 60, 73, 47, 48"
43,12oz disposable coffee cups with lids,gb,,40,1.40,,,,,60,,,2020-07-02,,,,
44,double wall takeaway coffee cups,gb,,40,,,,,,100,,,2018-04-07,,,,
45,kraft paper bags with logo,gb,,40,,,,,,100,,,2018-05-21,,,,
46,paper dinner napkins,gb,0,40,0.25,,paper napkins,2025-12-24 14:39:03,"Top ads,Shopping,Thumbnail,People also ask,Bottom ads,Paid sitelinks",500,800,800,2016-02-12,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
47,8oz double wall coffee cups,gb,,40,,,,,,90,,,2023-05-02,,,,
48,bespoke kraft paper bags,gb,,40,,,,,,60,,,2024-11-15,,,,
49,white kraft paper bags,gb,0,40,1.60,,white paper bags,2026-01-13 13:46:16,"Top ads,Shopping,Thumbnail,Bottom ads,Paid sitelinks",400,400,450,2015-09-19,"Commercial,Transactional,Non-branded,Non-local",English,,
50,kraft paper bags with window,gb,0,40,1.10,,kraft bag with window,2026-01-12 22:54:53,"Shopping,Thumbnail,Bottom ads,Paid sitelinks",350,10,10,2015-09-02,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
51,12oz double wall coffee cups,gb,,40,1.60,,,,,80,,,2021-03-10,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
52,12oz takeaway coffee cups,gb,0,40,1.50,,12oz,2026-01-02 09:16:18,"Shopping,Thumbnail",50,400,400,2018-07-12,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
53,cocktail paper napkins,gb,0,40,0.25,,cocktail napkins,2026-01-02 16:48:33,"Shopping,Thumbnail",150,150,150,2016-03-12,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
54,paper cocktail napkins,gb,0,40,0.25,,cocktail napkins,2026-01-02 17:02:31,"Shopping,Thumbnail,People also ask,Discussions",700,150,150,2015-10-20,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
55,personalised kraft paper bags,gb,,40,,,,,,60,,,2015-09-08,,,,
56,cocktail napkins napkins,gb,,40,,,,,,80,,,2024-09-11,,,,
57,double wall coffee cups disposable,gb,,40,,,,,,150,,,2021-08-12,,,,
58,kraft paper carrier bags,gb,,40,1.60,,,,,200,,,2015-11-04,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
59,twisted handle kraft paper bags,gb,,40,,,,,,60,,,2017-04-28,,,,
60,personalized cocktail napkins,gb,0,40,0.60,,custom cocktail napkins,2026-01-01 05:06:05,"Shopping,Thumbnail",1300,20,20,2015-11-03,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
61,kraft paper bags uk,gb,7,40,1.30,,brown paper bags,2025-12-24 01:09:06,"Shopping,Thumbnail,AI Overview,Sitelinks",60,2800,3000,2016-03-21,"Informational,Commercial,Transactional,Non-branded,Local",English,,
62,12oz coffee cups with lids,gb,0,40,1.20,,12oz cups,2025-12-29 12:46:03,"Shopping,Thumbnail",100,350,350,2020-02-11,"Commercial,Transactional,Non-branded,Non-local",English,,
63,12oz disposable coffee cups,gb,0,40,1.40,,12oz,2026-01-14 05:55:02,"Shopping,Thumbnail,People also ask",80,400,400,2019-10-02,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
64,tork dinner napkins,gb,,30,0.20,,,,,200,,,2016-07-27,,,,
65,4th of july cocktail napkins,gb,,30,,,,,,100,,,2022-07-28,,,,
66,12 oz double wall coffee cups,gb,0,30,1.60,,12oz,2026-01-10 15:26:31,"Shopping,Thumbnail",90,400,400,2020-01-12,"Commercial,Transactional,Non-branded,Non-local",English,,
67,coffee stirrers wooden,gb,0,30,0.35,,wooden stirrer,2026-01-07 14:48:27,"Shopping,Thumbnail",100,200,200,2016-10-03,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
68,kraft brown paper bags,gb,0,30,1.40,,paper bags,2026-01-05 23:46:02,"Shopping,Thumbnail",200,2900,3200,2015-10-02,"Commercial,Transactional,Non-branded,Non-local",English,,
69,coffee cup with lids,gb,,30,,,,,,150,,,2018-02-24,,,,
70,best dinner napkins,gb,,30,,,,,,100,,,2020-04-25,,,,
71,white cocktail napkins,gb,,30,0.35,,,,,350,,,2016-09-20,,,,
72,rainbow cocktail napkins,gb,,30,,,,,,90,,,2022-07-07,,,,
73,can you recycle coffee cups uk,gb,,30,,,,,,30,,,2022-07-28,,,,
74,paper kraft bags,gb,1,30,1.10,,paper bags,2026-01-04 06:12:19,"Shopping,Thumbnail",250,2900,3200,2015-12-08,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
75,thanksgiving cocktail napkins,gb,,30,,,,,,100,,,2020-06-14,,,,
76,10oz double wall coffee cups,gb,,30,,,,,,60,,,2022-12-15,,,,
77,cloth cocktail napkins,gb,,30,0.25,,,,,500,,,2017-01-16,,,,
78,wooden drink stirrers,gb,,30,0.20,,,,,100,,,2015-10-17,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
79,wooden drinks stirrers,gb,,30,,,,,,40,,,2015-10-24,,,,
80,kraft paper bags with twisted handles,gb,,30,,,,,,40,,,2016-01-05,,,,
81,brown paper kraft bags,gb,0,30,1.10,,paper bags,2026-01-08 18:27:57,"Top ads,Shopping,Thumbnail,Bottom ads,Paid sitelinks",150,2900,3200,2015-10-21,"Commercial,Transactional,Non-branded,Non-local",English,,
82,kraft bags paper,gb,,30,,,,,,100,,,2021-11-24,,,,
83,takeaway coffee cup lids,gb,,30,,,,,,60,,,2021-02-15,,,,
84,stirrers wooden,gb,,30,,,,,,80,,,2018-11-16,,,,
85,custom double wall paper coffee cups,gb,,30,,,,,,150,,,2019-10-27,,,,
86,printed cocktail napkins,gb,,30,1.00,,,,,350,,,2016-09-21,,,,
87,can you recycle paper coffee cups,gb,,30,,,,,,60,,,2017-11-29,"Informational,Non-branded,Non-local",English,,
88,buy kraft paper bags online,gb,,20,,,,,,40,,,2020-01-25,,,,
89,bespoke cocktail napkins,gb,,20,,,,,,30,,,2023-12-22,,,,
90,printed double wall coffee cups,gb,,20,,,,,,100,,,2019-03-17,,,,
91,brown kraft paper bags with handles,gb,,20,1.10,,,,,90,,,2017-05-08,,,,
92,white disposable dinner napkins,gb,,20,,,,,,50,,,2020-10-03,,,,
93,cocktail napkins fabric,gb,,20,,,,,,50,,,2020-05-23,,,,
94,bulk buy plastic coffee cup lids,gb,,20,,,,,,30,,,2023-06-02,,,,
95,wedding cocktail napkins,gb,,20,0.50,,,,,1000,,,2016-10-04,"Commercial,Transactional,Non-branded,Non-local",English,,
96,promotional tape handled kraft paper bags,gb,,20,,,,,,20,,,2020-06-23,,,,
97,small cocktail napkins,gb,,20,0.20,,,,,70,,,2016-01-25,,,,
98,3 ply dinner napkins,gb,,20,,,,,,60,,,2018-07-01,,,,
99,12oz double walled coffee cups,gb,0,20,1.60,,12oz coffee cup,2026-01-02 10:28:27,"Shopping,Thumbnail,Bottom ads",40,40,40,2021-04-09,"Commercial,Transactional,Non-branded,Non-local",English,,
100,dinner napkins cloth,gb,,20,,,,,,300,,,2016-02-12,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
101,12oz paper coffee cups,gb,,20,0.90,,12oz cups,,,40,,,2015-10-20,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
102,buy cocktail napkins,gb,,20,,,,,,40,,,2017-04-21,"Commercial,Transactional,Non-branded,Non-local",English,,
103,small brown kraft paper bags,gb,,20,,,,,,30,,,2015-09-24,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
104,12oz christmas coffee cups,gb,,20,,,,,,30,,,2021-10-29,,,,
105,4 cup carriers,gb,,20,,,,,,30,,,2017-11-21,,,,
106,christmas cocktail napkins,gb,,20,0.20,,,,,350,,,2017-11-29,,,,
107,coffee cups 12oz,gb,,20,0.90,,,,,50,,,2020-04-14,,,,
108,reusable coffee cup lids,gb,,20,,,,,,90,,,2020-01-19,,,,
109,wooden stirrers for coffee,gb,,20,0.35,,,,,80,,,2020-11-15,,,,
110,12oz coffee cups double wall,gb,,20,,,,,,20,,,2023-12-11,,,,
111,cocktail napkins black,gb,,20,0.35,,,,,100,,,2016-11-29,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
112,coffee cups double wall,gb,,20,,,,,,200,,,2018-10-01,"Informational,Commercial,Non-branded,Non-local",English,,
113,airlaid cocktail napkins,gb,,20,,,,,,20,,,2022-10-31,,,,
114,disposable double wall coffee cups,gb,,20,,,,,,50,,,2020-10-24,,,,
115,luxury kraft paper bags,gb,,20,0.80,,,,,40,,,2020-08-10,,,,
116,brown paper bags kraft,gb,,20,,,,,,30,,,2017-07-31,,,,
117,biodegradable coffee cup lids,gb,,20,0.90,,,,,80,,,2017-03-08,,,,
118,silicone coffee cup lids,gb,,20,0.20,,,,,100,,,2016-10-24,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
119,8oz paper coffee cups,gb,,20,,,,,,80,,,2016-08-30,,,,
120,double wall coffee cups wholesale,gb,,20,,,,,,50,,,2020-08-01,,,,
121,wooden cocktail stirrers,gb,0,20,0.25,,wooden stirrer,2025-12-31 17:00:28,"Shopping,Thumbnail,People also ask",90,200,200,2016-07-31,"Commercial,Transactional,Non-branded,Non-local",English,,
122,christmas dinner napkins,gb,,20,,,,,,250,,,2019-12-08,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
123,coffee cups glass double wall,gb,,20,0.20,,,,,70,,,2020-08-09,,,,
124,cocktail napkins white,gb,,20,0.35,,,,,50,,,2018-05-21,,,,
125,cocktail beverage napkins,gb,,20,,,,,,80,,,2020-05-26,,,,
126,dinner napkins paper,gb,1,20,0.25,,paper napkins,2025-12-31 00:48:03,"Shopping,Thumbnail,People also ask,Local teaser pack",350,800,800,2017-10-29,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
127,double wall cups for coffee,gb,,20,,,,,,100,,,2024-01-04,,,,
128,large kraft paper bags with handles,gb,,20,,,,,,50,,,2021-01-22,,,,
129,12oz coffee cup lids,gb,,20,0.80,,,,,30,,,2020-08-21,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
130,customised kraft paper bags,gb,,20,,,,,,40,,,2024-10-22,,,,
131,coffee cups 8oz,gb,,20,,,,,,70,,,2016-09-18,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
132,8oz disposable coffee cups,gb,,20,0.80,,,,,70,,,2015-09-14,,,,
133,brown kraft paper carrier bags,gb,,20,,,,,,30,,,2019-07-10,,,,
134,kraft paper mailer bags,gb,,20,,,,,,90,,,2021-01-27,,,,
135,2 ply dinner napkins,gb,,20,,,,,,200,,,2018-10-17,,,,
136,cheap kraft paper bags,gb,,20,,,,,,60,,,2015-09-08,"Commercial,Transactional,Non-branded,Non-local",English,,
137,personalised cocktail napkins uk,gb,,20,0.45,,,,,20,,,2017-04-20,,,,
138,dinner cloth napkins,gb,,20,,,,,,200,,,2020-01-09,,,,
139,cocktail napkins personalized,gb,,20,0.45,,,,,600,,,2016-03-04,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
140,cocktail napkins paper,gb,0,20,0.25,,cocktail napkins,2026-01-04 19:17:03,"AI Overview,Shopping,Thumbnail,People also ask",200,150,150,2015-10-20,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
141,coloured kraft paper bags,gb,,20,,,,,,80,,,2016-10-24,,,,
142,promotional twist handled kraft paper bags,gb,,20,,,,,,30,,,2020-07-08,,,,
143,dinner napkins size,gb,,10,,,,,,70,,,2020-08-14,,,,
144,kraft block bottom paper bags,gb,,10,1.30,,,,,20,,,2019-04-21,,,,
145,cocktail napkins custom,gb,,10,,,,,,200,,,2020-02-10,,,,
146,tork cocktail napkins,gb,,10,,,,,,10,,,2019-12-09,,,,
147,black dinner napkins,gb,,10,,,,,,150,,,2016-01-27,,,,
148,disposable coffee cup lids,gb,,10,,,,,,80,,,2019-12-18,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
149,paper kraft party bags,gb,,10,,,,,,20,,,2020-01-12,,,,
150,monogram cocktail napkins,gb,,10,0.40,,,,,200,,,2020-01-19,,,,
151,eco friendly coffee cup lids,gb,,10,,,,,,10,,,2025-02-15,,,,
152,personalised dinner napkins,gb,,10,0.80,,,,,10,,,2020-02-28,,,,
153,custom cocktail napkins wedding,gb,,10,,,,,,300,,,2020-04-12,,,,
154,what are cocktail napkins used for,gb,,10,,,,,,50,,,2021-03-18,,,,
155,what are cocktail napkins,gb,,10,,,,,,50,,,2021-10-19,,,,
156,simulinen dinner napkins,gb,,10,,,,,,10,,,2025-02-08,,,,
157,wholesale kraft paper bags,gb,,10,1.20,,,,,150,,,2015-10-28,"Commercial,Transactional,Non-branded,Non-local",English,,
158,custom double wall coffee cups,gb,,10,,,,,,450,,,2020-02-10,,,,
159,disposable coffee cups 8oz,gb,,10,,,,,,20,,,2021-11-26,,,,
160,custom printed cocktail napkins,gb,,10,,,,,,400,,,2016-04-02,"Informational,Commercial,Non-branded,Non-local",English,,
161,printed cocktail napkins uk,gb,,10,,,,,,10,,,2025-03-10,,,,
162,12 oz coffee cup lids,gb,,10,1.20,,,,,40,,,2020-02-19,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
163,white kraft paper bags with handles,gb,,10,,,,,,50,,,2016-06-17,,,,
164,can you recycle costa coffee cups,gb,,10,,,,,,10,,,2016-11-11,,,,
165,personalized+dinner+napkins johannesburg,gb,,10,,,,,,10,,,2025-04-04,,,,
166,linen feel cocktail napkins,gb,,10,,,,,,50,,,2023-07-03,,,,
167,glass double wall coffee cups,gb,,10,,,,,,150,,,2017-01-28,"Informational,Commercial,Non-branded,Non-local",English,,
168,cup lids coffee,gb,,10,,,,,,10,,,2023-12-13,,,,
169,block bottom kraft paper bags,gb,,10,,,,,,10,,,2016-04-26,,,,
170,dinner party napkins,gb,,10,,,,,,40,,,2016-11-30,,,,
171,pink cocktail napkins,gb,,10,,,,,,200,,,2020-01-10,,,,
172,cocktail napkins with logo,gb,,10,,,,,,200,,,2016-09-07,,,,
173,what size are cocktail napkins,gb,,10,,,,,,200,,,2017-03-15,,,,
174,plastic coffee cup lids,gb,,10,,,,,,100,,,2018-02-01,"Informational,Commercial,Non-branded,Non-local",English,,
175,personalized dinner napkins,gb,,10,,,,,,200,,,2020-01-17,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
176,what size are dinner napkins,gb,,10,,,,,,150,,,2020-09-02,,,,
177,dinner table napkins,gb,,10,,,,,,80,,,2018-05-01,,,,
178,best recyclable coffee cup lids,gb,,10,,,,,,10,,,2025-03-29,,,,
179,kraft paper food bags,gb,,10,1.10,,,,,200,,,2020-01-19,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
180,replacement coffee cup lids,gb,,10,,,,,,50,,,2023-01-09,,,,
181,kraft greaseproof paper bags,gb,,10,,,,,,10,,,2021-03-31,,,,
182,pink dinner napkins,gb,,10,,,,,,150,,,2017-03-17,,,,
183,50 bags white kraft paper bag,gb,,10,,,,,,20,,,2025-02-02,,,,
184,wooden coffee stirrers for hot drink machines,gb,,10,,,,,,20,,,2023-03-25,,,,
185,luxury disposable dinner napkins,gb,,10,,,,,,10,,,2022-11-04,,,,
186,extra large kraft paper bags,gb,,10,,,,,,30,,,2020-02-07,,,,
187,reusable coffee cup with lids,gb,,10,,,,,,30,,,2019-08-09,,,,
188,cloth dinner napkins,gb,,10,0.20,,,,,350,,,2019-04-13,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
189,white cocktail napkins bulk cheap,gb,,10,,,,,,10,,,2025-06-06,,,,
190,luxury cocktail napkins,gb,,10,,,,,,70,,,2020-03-09,,,,
191,custom cocktail napkins with logo,gb,,10,,,,,,200,,,2020-01-13,,,,
192,cocktail napkins linen,gb,,10,,,,,,150,,,2017-07-18,,,,
193,e commerce kraft paper mailing bags,gb,,10,,,,,,10,,,2025-03-06,,,,
194,wooden stirrers asda,gb,,10,,,,,,10,,,2018-05-31,,,,
195,can you recycle mcdonalds coffee cups,gb,,10,,,,,,10,,,2018-07-06,,,,
196,wooden coffee stirrers near me,gb,,10,,,,,,40,,,2019-06-12,,,,
197,8oz coffee cup lids,gb,,10,0.70,,,,,20,,,2019-05-31,,,,
198,red dinner napkins,gb,,10,,,,,,100,,,2017-04-24,,,,
199,pure kraft paper bags,gb,,10,,,,,,10,,,2019-02-06,,,,
200,custom printed kraft paper bags,gb,,10,,,,,,350,,,2020-01-18,,,,
201,kraft paper coffee bags,gb,,10,1.40,,,,,100,,,2018-05-03,,,,
202,size of dinner napkins,gb,,10,,,,,,100,,,2020-07-03,,,,
203,coffee cup lids recyclable,gb,,10,1.10,,,,,30,,,2018-04-08,,,,
204,kraft paper shopping bags,gb,,10,,,,,,250,,,2015-09-21,,,,
205,red cocktail napkins,gb,,10,0.30,,,,,100,,,2020-02-19,,,,
206,can you recycle starbucks coffee cups,gb,,10,,,,,,20,,,2020-06-27,,,,
207,plant-based coffee cup lids,gb,,10,,,,,,10,,,2025-03-29,,,,
208,green cup lids for coffee shops,gb,,10,,,,,,10,,,2025-04-12,,,,
209,funny cocktail napkins,gb,,10,0.20,,,,,300,,,2016-01-25,,,,
210,wholesale coffee cup lids,gb,,10,,,,,,10,,,2025-04-05,,,,
211,oliver bonas cocktail napkins,gb,,10,,,,,,10,,,2023-12-04,,,,
212,premium paper dinner napkins,gb,,10,,,,,,20,,,2020-05-11,,,,
213,white kraft block bottom paper bags,gb,,10,,,,,,10,,,2023-10-31,,,,
214,double wall paper coffee cups,gb,,10,1.00,,,,,250,,,2020-01-19,,,,
215,how to fold dinner napkins for a formal dinner,gb,,10,,,,,,80,,,2024-11-05,,,,
216,are wooden stirrers recyclable,gb,,10,,,,,,10,,,2020-01-13,,,,
217,dog cocktail napkins,gb,,10,,,,,,200,,,2020-01-22,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
218,cocktail size napkins,gb,,10,1.00,,,,,30,,,2020-08-21,"Informational,Commercial,Non-branded,Non-local",English,,
219,medium kraft paper gift bags,gb,,10,,,,,,10,,,2020-01-22,,,,
220,green cocktail napkins,gb,,10,,,,,,200,,,2017-08-08,,,,
221,cocktail napkins wedding,gb,,10,,,,,,200,,,2020-01-15,,,,
222,wholesale cocktail napkins,gb,,10,0.70,,,,,150,,,2020-04-14,,,,
223,red linen dinner napkins,gb,,10,,,,,,50,,,2020-01-26,,,,
224,branded wooden cocktail stirrers uk,gb,,10,,,,,,10,,,2025-03-13,,,,
225,bodum coffee cups double wall,gb,,10,0.15,,,,,30,,,2016-11-05,"Informational,Commercial,Transactional,Branded,Non-local",English,,
226,white dinner napkins,gb,,10,,,,,,150,,,2015-10-04,,,,
227,can you recycle takeaway coffee cups,gb,,10,,,,,,10,,,2018-02-09,,,,
228,cocktail napkins size,gb,0,10,1.00,,napkin sizes,2025-12-25 07:31:17,"People also ask,Thumbnail,Discussions,Shopping,Sitelinks",150,60,1100,2015-10-15,"Informational,Non-branded,Non-local",English,,
